,INTERVAL_DATETIME,REGIONID,ACTUAL_OPERATIONAL_DEMAND,LASTCHANGED
407,1/9/2022 11:00,NSW1,7295,1/9/2022 11:00
408,1/9/2022 11:30,NSW1,7369,1/9/2022 11:30
409,1/9/2022 12:00,NSW1,7349,1/9/2022 12:00
410,1/9/2022 12:30,NSW1,7200,1/9/2022 12:30
411,1/9/2022 13:00,NSW1,7165,1/9/2022 13:00
412,1/9/2022 13:30,NSW1,7233,1/9/2022 13:30
413,1/9/2022 14:00,NSW1,7248,1/9/2022 14:00
414,1/9/2022 14:30,NSW1,7308,1/9/2022 14:30
415,1/9/2022 15:00,NSW1,7428,1/9/2022 15:00
416,1/9/2022 15:30,NSW1,7603,1/9/2022 15:30
417,1/9/2022 16:00,NSW1,7835,1/9/2022 16:00
418,1/9/2022 16:30,NSW1,8021,1/9/2022 16:30
419,1/9/2022 17:00,NSW1,8319,1/9/2022 17:00
420,1/9/2022 17:30,NSW1,8506,1/9/2022 17:30
421,1/9/2022 18:00,NSW1,8614,1/9/2022 18:00
422,1/9/2022 18:30,NSW1,8657,1/9/2022 18:30
423,1/9/2022 19:00,NSW1,8589,1/9/2022 19:00
424,1/9/2022 19:30,NSW1,8545,1/9/2022 19:30
425,1/9/2022 20:00,NSW1,8493,1/9/2022 20:00
426,1/9/2022 20:30,NSW1,8344,1/9/2022 20:30
427,1/9/2022 21:00,NSW1,8158,1/9/2022 21:00
428,1/9/2022 21:30,NSW1,8000,1/9/2022 21:30
429,1/9/2022 22:00,NSW1,7809,1/9/2022 22:00
430,1/9/2022 22:30,NSW1,7654,1/9/2022 22:30
431,1/9/2022 23:00,NSW1,7472,1/9/2022 23:00
